Position,Location,Type,Posted_Date,Description,Apply_Link
Oracle Transportation Management Consultant (OTM),"Gurgaon, Haryana",Permanent,28/01/2025 3:04:29 PM,"Role: Oracle Transportation Management Consultant (OTM) Location: Remote Duration: Full Time 10+ years of experience with OTM Looking for an offshore resource with strong Oracle Transportation Management (OTM) skills. Best Regards, Madhu Email: more ->",https://jobserve.com//in/en/find-jobs-in-India/ORACLE-TRANSPORTATION-MANAGEMENT-CONSULTANT-OTM-06A8902E9AE511C0A3/
Hiring for performance marketer/paid media specialist (lead,"Thane, Maharashtra",Permanent,28/01/2025 2:04:20 PM,"Company Description Beyond Luxury Real Estate Consultants is your premier destination for premium property search, buying experience, and facilitation services. With a focus on delivering the best customer experience, we cater to a discerning client base and provide guidance throughout the home buying process. Our dynamic team of professionals is committed to service excellence and helping clients find their dream homes. Role Description This is a Full time on-site role for a Performance Marketer/Paid Media Specialist at Beyond Luxury Real Estate Consultants in Thane. The role involves lead...  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/HIRING-FOR-PERFORMANCE-MARKETER-PAID-MEDIA-SPECIALIST-LEAD-31FA9AB3E5F91BA011/"
Power BI Trainer - 9 weeks project,"Tiruvannamalai, Tamil Nadu",Permanent,28/01/2025 2:04:22 PM,"IRA Skill Varsity seeks trainers for on-site degree college programs in Thirupathur, Tiruvannamalai, Ranipet, & Vellore. Courses: Data Analytics, Power BI, Soft Skills. 9 weeks, Mon-Fri. Pay: 20K/month. Apply at or call . more ->",https://jobserve.com//in/en/find-jobs-in-India/POWER-BI-TRAINER-9-WEEKS-PROJECT-B310B9E41B3554BBF5/
Human Resources Manager,"Udupi, Karnataka",Permanent,28/01/2025 2:04:07 PM,"Role Overview: As the Human Resources Manager, you will be a key member of our Resort pre-opening team at Peninsula Del Mar, Kaup, Udupi, Karnataka. You will be responsible for setting up the HR function and creating a strong foundation for the property's operations. You will lead all aspects of human resources, including recruitment, onboarding, training, employee engagement, compliance, and HR strategy. This is a unique opportunity to contribute to the launch of a prestigious luxury resort. Key Responsibilities: 1. Recruitment & Talent Acquisition: Oversee the end-to-end recruitment process...  more ->","https://jobserve.com//in/en/search-jobs-in-Karnataka,-India/HUMAN-RESOURCES-MANAGER-9F8FD74F6F8EA20C71/"
GEN AI Engineer,"Chennai, Tamil Nadu",Permanent,28/01/2025 2:04:08 PM,"Location: Chennai Exp Range : 6+yrs Job Description: Strong understanding of machine learning techniques, including deep learning, reinforcement learning, and predictive modeling. Demonstrable experience in AI, ML, NLP, or related fields, with a robust portfolio showcasing practical application of these technologies. Proficient in Python and familiar with frameworks for AI development, such as TensorFlow, PyTorch, Keras, scikit-learn, NLTK, Langchain. Experience in utilizing Python libraries such as NumPy, Pandas, Matplotlib, Plotly. Experience working with Large Language Models (LLM) like...  more ->",https://jobserve.com//in/en/find-jobs-in-India/GEN-AI-ENGINEER-5549BECEC992971191/
Subject Teacher - All Subjects - All grades,"Patna, Bihar",Permanent,28/01/2025 2:04:07 PM,"JD - CBSE Teacher DY Patil international school, Patna is amongst the premier institutes in the field of education today. With eight glorious years of exemplary track record, we have the distinction of being the fastest growing schools in Patna. DY Patil International schools currently have two campuses in Patna, at Jaganpura and Kurkuri (Anisabad) respectively. DY Patil International School, Patna is calling out exemplary, passionate and career driven teachers to join us, in our continuous journey of providing top quality education to children. Positions available - C.B.S.E board teachers,...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SUBJECT-TEACHER-ALL-SUBJECTS-ALL-GRADES-0C533940C41C346FF4/
FED Lead Engineer Must AEM Solution Design and AEM Architect Must,Maharashtra,Permanent,28/01/2025 2:04:07 PM,"Hi, This is with regards to an opening with Global Asset Management firm in Pune Role - FED Lead Engineer Must AEM Solution Design and AEM Architect Must React JS FED Lead Engineer - 2A AEM Solution Design and AEM Architect Must React JS 10+ years Job Requisition 10+ Years of total experience 2. Experience into AEM mandatory. +Front end 3. Experience in React, Typescript, Javascript, HTML5, CSS/SCSS/LESS, Bootstrap Knowledge & Skills: Strong working knowledge of AEM/Adobe CQ/Digital Marketing Suite is mandatory Act as a subject matter expert for any Front End enhancements/queries/issues...  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/FED-LEAD-ENGINEER-MUST-AEM-SOLUTION-DESIGN-AND-AEM-ARCHITECT-MUST-CF55787AF3FE89ED2B/"
Property Manager,"Bangalore, Karnataka",Permanent,28/01/2025 2:04:06 PM,"Hiring for a prominent real estate developer headquartered in Bengaluru, India. ROLE: PROJECT MANAGER The person will be Responsible for implementing & maintaining Property management services as per BPPL standards for the entire Tech Park of 50-acre campus. The person will have high-quality knowledge on PMS functions in Tech Park along with technology & process oriented. EXPERIENCE REQUIRED: Min 15 Years Should have worked in Tech Park with developers for managing PMS Should have worked independently in handling PMS services. Should have exposure to Manage outsourced SME and service...  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/PROPERTY-MANAGER-D918AF24694522B357/"
Human Resources Intern,"Bangalore, Karnataka",Permanent,28/01/2025 2:04:04 PM,"Job Title: TA Intern Location: Bangalore About Us ""Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence across 32 cities across globe, we support 100+ clients across banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery. WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance companies, payment...  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/HUMAN-RESOURCES-INTERN-EFA652050B2113662B/"
Computer Science Teacher,"Islampur, West Bengal",Permanent,28/01/2025 2:04:06 PM,"Join Mount Litera Zee School, Islampur Located near Siliguri, we are seeking a passionate and qualified Computer Science Teacher to inspire young minds and foster their love for technology. Position: Computer Science Teacher Location: Mount Litera Zee School, Islampur (near Siliguri) Salary: Up to 50,000/month (based on qualifications and experience) Accommodation: Provided for outstation candidates Qualifications: A strong foundation in computer science concepts and teaching methodologies. Relevant bachelor's or master's degree in Computer Science/IT or equivalent. B.Ed. degree more ->",https://jobserve.com//in/en/find-jobs-in-India/COMPUTER-SCIENCE-TEACHER-F8E2F83AD4B3296D6A/
